site,recording,start_s,end_s,scientific_name,common_name,confidence
14_33,20200704_060500,39,42,Colaptes auratus,Northern Flicker,0.10852351
14_33,20200704_060500,48,51,Colaptes auratus,Northern Flicker,0.15534988
14_33,20200705_050000,3,6,Colaptes auratus,Northern Flicker,0.18679702
14_33,20200705_050000,9,12,Colaptes auratus,Northern Flicker,0.11640501
14_33,20200705_055000,15,18,Colaptes auratus,Northern Flicker,0.1451924
14_33,20200705_055500,0,3,Colaptes auratus,Northern Flicker,0.1080878
14_33,20200705_055500,45,48,Colaptes auratus,Northern Flicker,0.104828335
14_33,20200705_055500,48,51,Colaptes auratus,Northern Flicker,0.19991685
14_33,20200705_055500,57,60,Colaptes auratus,Northern Flicker,0.122047074
14_33,20200705_060000,3,6,Colaptes auratus,Northern Flicker,0.2017397
14_33,20200705_060500,45,48,Colaptes auratus,Northern Flicker,0.17701207
14_33,20200705_060500,57,60,Colaptes auratus,Northern Flicker,0.236168
14_33,20200705_061000,12,15,Colaptes auratus,Northern Flicker,0.103057735
14_33,20200705_061000,39,42,Colaptes auratus,Northern Flicker,0.16901448
14_33,20200705_062500,27,30,Colaptes auratus,Northern Flicker,0.10525166
14_33,20200705_063000,3,6,Colaptes auratus,Northern Flicker,0.17982556
14_33,20200705_063000,39,42,Colaptes auratus,Northern Flicker,0.19816016
14_33,20200705_064000,42,45,Colaptes auratus,Northern Flicker,0.16779155
14_33,20200706_055000,24,27,Colaptes auratus,Northern Flicker,0.1974493
14_33,20200706_062000,6,9,Colaptes auratus,Northern Flicker,0.101120606
14_33,20200706_062500,24,27,Colaptes auratus,Northern Flicker,0.15116477
14_33,20200706_062500,54,57,Colaptes auratus,Northern Flicker,0.17377281
14_33,20200706_063000,15,18,Colaptes auratus,Northern Flicker,0.10378969
14_33,20200706_063000,45,48,Colaptes auratus,Northern Flicker,0.11313853
14_33,20200708_051000,3,6,Colaptes auratus,Northern Flicker,0.10015566
14_33,20200708_051000,9,12,Colaptes auratus,Northern Flicker,0.112879224
14_33,20200708_051500,9,12,Colaptes auratus,Northern Flicker,0.113847844
14_33,20200708_053500,24,27,Colaptes auratus,Northern Flicker,0.11877514
14_33,20200708_054500,30,33,Colaptes auratus,Northern Flicker,0.118376695
14_33,20200708_055500,18,21,Colaptes auratus,Northern Flicker,0.111234605
14_33,20200708_055500,27,30,Colaptes auratus,Northern Flicker,0.19432937
14_33,20200708_055500,54,57,Colaptes auratus,Northern Flicker,0.12681721
14_33,20200708_061500,18,21,Colaptes auratus,Northern Flicker,0.50380147
14_33,20200708_061500,21,24,Colaptes auratus,Northern Flicker,0.22523896
14_33,20200708_062000,33,36,Colaptes auratus,Northern Flicker,0.22806822
14_33,20200708_064000,12,15,Colaptes auratus,Northern Flicker,0.10706506
14_33,20200708_064000,33,36,Colaptes auratus,Northern Flicker,0.10308071
14_33,20200708_064000,54,57,Colaptes auratus,Northern Flicker,0.12063672
14_33,20200708_064500,27,30,Colaptes auratus,Northern Flicker,0.108626224
14_33,20200708_064500,42,45,Colaptes auratus,Northern Flicker,0.10824561
14_33,20200708_064500,48,51,Colaptes auratus,Northern Flicker,0.37565863
14_33,20200708_065000,3,6,Colaptes auratus,Northern Flicker,0.1342865
14_33,20200708_065000,42,45,Colaptes auratus,Northern Flicker,0.117911115
14_33,20200708_065000,54,57,Colaptes auratus,Northern Flicker,0.1923918
14_33,20200708_065500,15,18,Colaptes auratus,Northern Flicker,0.1315447
14_33,20200709_065000,42,45,Colaptes auratus,Northern Flicker,0.11904426
14_33,20200716_052000,12,15,Colaptes auratus,Northern Flicker,0.11690277
14_34,20200615_055000,0,3,Colaptes auratus,Northern Flicker,0.12219135
14_34,20200615_060000,15,18,Colaptes auratus,Northern Flicker,0.32539064
14_34,20200618_064000,18,21,Colaptes auratus,Northern Flicker,0.11383925
14_34,20200714_052500,42,45,Colaptes auratus,Northern Flicker,0.10827734
14_34,20200718_052000,39,42,Colaptes auratus,Northern Flicker,0.112891525
14_36,20200717_064500,12,15,Colaptes auratus,Northern Flicker,0.18000016
14_38,20200615_062000,15,18,Colaptes auratus,Northern Flicker,0.672218
14_38,20200615_062000,18,21,Colaptes auratus,Northern Flicker,0.8723092
14_38,20200615_062000,24,27,Colaptes auratus,Northern Flicker,0.7162177
14_38,20200615_062000,27,30,Colaptes auratus,Northern Flicker,0.61793107
14_38,20200615_062000,30,33,Colaptes auratus,Northern Flicker,0.37762845
14_38,20200615_062000,54,57,Colaptes auratus,Northern Flicker,0.7201305
14_38,20200615_062000,57,60,Colaptes auratus,Northern Flicker,0.7597968
14_38,20200616_052000,39,42,Colaptes auratus,Northern Flicker,0.46905008
14_38,20200616_052000,45,48,Colaptes auratus,Northern Flicker,0.96676964
14_38,20200616_052000,51,54,Colaptes auratus,Northern Flicker,0.12099726
14_38,20200616_052000,54,57,Colaptes auratus,Northern Flicker,0.92101043
14_38,20200616_052000,57,60,Colaptes auratus,Northern Flicker,0.38072768
14_38,20200619_060500,36,39,Colaptes auratus,Northern Flicker,0.13059339
14_38,20200628_060500,36,39,Colaptes auratus,Northern Flicker,0.14118484
14_38,20200630_043000,27,30,Colaptes auratus,Northern Flicker,0.22973475
14_38,20200630_043000,33,36,Colaptes auratus,Northern Flicker,0.27922794
14_38,20200630_043000,36,39,Colaptes auratus,Northern Flicker,0.115674384
14_38,20200630_043000,39,42,Colaptes auratus,Northern Flicker,0.18766655
14_38,20200630_043000,42,45,Colaptes auratus,Northern Flicker,0.16967933
14_38,20200630_043000,45,48,Colaptes auratus,Northern Flicker,0.15385625
14_38,20200630_043000,48,51,Colaptes auratus,Northern Flicker,0.16277286
14_38,20200630_043000,51,54,Colaptes auratus,Northern Flicker,0.18577242
14_38,20200630_044500,42,45,Colaptes auratus,Northern Flicker,0.16078074
14_38,20200713_060000,45,48,Colaptes auratus,Northern Flicker,0.35331655
14_38,20200713_060000,48,51,Colaptes auratus,Northern Flicker,0.33766374
14_38,20200714_051000,42,45,Colaptes auratus,Northern Flicker,0.238878
14_38,20200714_051000,45,48,Colaptes auratus,Northern Flicker,0.41722986
14_38,20200718_054000,51,54,Colaptes auratus,Northern Flicker,0.15114531
14_38,20200718_054000,57,60,Colaptes auratus,Northern Flicker,0.18163325
14_38,20200718_064500,45,48,Colaptes auratus,Northern Flicker,0.10567112
14_38,20200719_055000,33,36,Colaptes auratus,Northern Flicker,0.22998133
14_39,20200609_042500,36,39,Colaptes auratus,Northern Flicker,0.10999482
14_39,20200710_060500,21,24,Colaptes auratus,Northern Flicker,0.1791357
14_40,20200614_062000,36,39,Colaptes auratus,Northern Flicker,0.11323238
14_40,20200618_053000,0,3,Colaptes auratus,Northern Flicker,0.5804057
14_40,20200618_053000,15,18,Colaptes auratus,Northern Flicker,0.9106236
14_40,20200618_053000,18,21,Colaptes auratus,Northern Flicker,0.96047235
14_40,20200618_053000,21,24,Colaptes auratus,Northern Flicker,0.5466494
14_40,20200618_053000,30,33,Colaptes auratus,Northern Flicker,0.9309628
14_40,20200618_053000,33,36,Colaptes auratus,Northern Flicker,0.94039035
14_40,20200618_053000,36,39,Colaptes auratus,Northern Flicker,0.9762325
14_40,20200618_053000,54,57,Colaptes auratus,Northern Flicker,0.5771971
14_40,20200618_053000,57,60,Colaptes auratus,Northern Flicker,0.81652987
14_40,20200706_053000,3,6,Colaptes auratus,Northern Flicker,0.37144607
14_40,20200706_053000,6,9,Colaptes auratus,Northern Flicker,0.11135917
14_40,20200712_062500,30,33,Colaptes auratus,Northern Flicker,0.15560417000000001
14_40,20200716_061000,0,3,Colaptes auratus,Northern Flicker,0.6614216
14_40,20200716_061000,3,6,Colaptes auratus,Northern Flicker,0.43061802
14_40,20200716_061000,12,15,Colaptes auratus,Northern Flicker,0.63467276
14_40,20200716_061000,24,27,Colaptes auratus,Northern Flicker,0.9082091
14_40,20200716_061000,45,48,Colaptes auratus,Northern Flicker,0.29564863
14_41,20200622_044000,27,30,Colaptes auratus,Northern Flicker,0.10029883
14_41,20200629_064500,21,24,Colaptes auratus,Northern Flicker,0.59941524
14_41,20200629_065000,3,6,Colaptes auratus,Northern Flicker,0.6780837
14_41,20200629_065000,9,12,Colaptes auratus,Northern Flicker,0.16892484
14_41,20200629_065000,12,15,Colaptes auratus,Northern Flicker,0.81429625
14_41,20200629_065000,54,57,Colaptes auratus,Northern Flicker,0.81309336
14_41,20200712_060500,57,60,Colaptes auratus,Northern Flicker,0.19339302
14_41,20200720_054500,3,6,Colaptes auratus,Northern Flicker,0.1122999
N_01,20200613_060000,0,3,Colaptes auratus,Northern Flicker,0.9509933
N_01,20200613_060000,15,18,Colaptes auratus,Northern Flicker,0.9293827
N_01,20200613_060000,18,21,Colaptes auratus,Northern Flicker,0.87393296
N_01,20200613_060000,36,39,Colaptes auratus,Northern Flicker,0.8440543
N_01,20200613_060000,39,42,Colaptes auratus,Northern Flicker,0.9672971
